tree	tip
mitogenome_submitted	YPM-IZ-110631
mitogenome_submitted	YPM-IZ-110633
mitogenome_submitted	YPM-IZ-110667
mitogenome_submitted	YPM-IZ-110694
mitogenome_submitted	YPM-IZ-110716
mitogenome_submitted	YPM-IZ-110726
mitogenome_submitted	YPM-IZ-110738
mitogenome_submitted	YPM-IZ-110777
mitogenome_submitted	YPM-IZ-110780
mitogenome_submitted	YPM-IZ-110785
mitogenome_submitted	YPM-IZ-110786
mitogenome_submitted	YPM-IZ-110828
mitogenome_submitted	YPM-IZ-110829
mitogenome_submitted	YPM-IZ-110830
mitogenome_submitted	YPM-IZ-110842
mitogenome_submitted	YPM-IZ-110843
mitogenome_submitted	YPM-IZ-110844
mitogenome_submitted	YPM-IZ-110845
mitogenome_submitted	YPM-IZ-110846
mitogenome_submitted	YPM-IZ-110847
mitogenome_submitted	YPM-IZ-110876
mitogenome_submitted	YPM-IZ-110877
mitogenome_submitted	YPM-IZ-110878
mitogenome_submitted	YPM-IZ-110880
mitogenome_submitted	YPM-IZ-110881
mitogenome_submitted	YPM-IZ-110882
mitogenome_submitted	YPM-IZ-110883
mitogenome_submitted	YPM-IZ-110906
mitogenome_submitted	YPM-IZ-110907
mitogenome_submitted	YPM-IZ-110925
mitogenome_submitted	YPM-IZ-110926
mitogenome_submitted	YPM-IZ-110930
mitogenome_submitted	YPM-IZ-110931
mitogenome_submitted	YPM-IZ-110933
mitogenome_submitted	YPM-IZ-110937
mitogenome_submitted	YPM-IZ-110938
mitogenome_submitted	YPM-IZ-110943
mitogenome_submitted	YPM-IZ-110972
mitogenome_submitted	YPM-IZ-111006
mitogenome_submitted	YPM-IZ-111007
mitogenome_submitted	YPM-IZ-111008
mitogenome_submitted	YPM-IZ-111009
mitogenome_submitted	YPM-IZ-111010
mitogenome_submitted	YPM-IZ-111012
mitogenome_submitted	YPM-IZ-111013
mitogenome_submitted	YPM-IZ-111014
mitogenome_submitted	YPM-IZ-111016
mitogenome_submitted	YPM-IZ-111017
mitogenome_submitted	YPM-IZ-111018
mitogenome_submitted	YPM-IZ-111156
mitogenome_submitted	YPM-IZ-111157
mitogenome_submitted	YPM-IZ-111158
mitogenome_submitted	YPM-IZ-111159
mitogenome_submitted	YPM-IZ-111160
mitogenome_submitted	YPM-IZ-111163
mitogenome_submitted	YPM-IZ-111207
mitogenome_submitted	YPM-IZ-111208
mitogenome_submitted	YPM-IZ-111209
mitogenome_submitted	YPM-IZ-111210
mitogenome_submitted	YPM-IZ-111241
mitogenome_submitted	YPM-IZ-111243
mitogenome_submitted	YPM-IZ-111495
mitogenome_submitted	YPM-IZ-111513
mitogenome_submitted	YPM-IZ-111514
mitogenome_submitted	YPM-IZ-111517
mitogenome_submitted	YPM-IZ-111518
mitogenome_submitted	YPM-IZ-111519
mitogenome_submitted	YPM-IZ-111520
mitogenome_submitted	YPM-IZ-111521
mitogenome_submitted	YPM-IZ-111529
mitogenome_submitted	YPM-IZ-111530
mitogenome_submitted	YPM-IZ-111539
mitogenome_submitted	YPM-IZ-111547
mitogenome_submitted	YPM-IZ-111839
mitogenome_submitted	YPM-IZ-111840
mitogenome_submitted_rooted	FM-16644
mitogenome_submitted_rooted	KT809328.1
mitogenome_submitted_rooted	KT809335.1
mitogenome_submitted_rooted	LN901209.1
mitogenome_submitted_rooted	NC_080941.1
mitogenome_submitted_rooted	NC_080942.1
mitogenome_submitted_rooted	NIWA-173304
mitogenome_submitted_rooted	NIWA-173305
mitogenome_submitted_rooted	OA-190531-1
mitogenome_submitted_rooted	OA-Bluebottle
mitogenome_submitted_rooted	OQ957199.1
mitogenome_submitted_rooted	OQ957206.1
mitogenome_submitted_rooted	OQ957220.1
mitogenome_submitted_rooted	TMAG-K5632
mitogenome_submitted_rooted	TMAG-K5633
mitogenome_submitted_rooted	TMAG-K5634
mitogenome_submitted_rooted	TMAG-K5635
mitogenome_submitted_rooted	TMAG-K5636
mitogenome_submitted_rooted	WAM-Z88480
mitogenome_submitted_rooted	WAM-Z97900
mitogenome_submitted_rooted	WAM-Z97901
mitogenome_submitted_rooted	WAM-Z97902
mitogenome_submitted_rooted	WAM-Z97903
mitogenome_submitted_rooted	WAM-Z97906
mitogenome_submitted_rooted	WAM-Z97907
mitogenome_submitted_rooted	WAM-Z97908
mitogenome_submitted_rooted	WAM-Z97910
mitogenome_submitted_rooted	WAM-Z97911
mitogenome_submitted_rooted	WAM-Z97914
mitogenome_submitted_rooted	WAM-Z97916
mitogenome_submitted_rooted	WAM-Z97917
mitogenome_submitted_rooted	WAM-Z97920
mitogenome_submitted_rooted	WAM-Z97921
mitogenome_submitted_rooted	WAM-Z97923
mitogenome_submitted_rooted	YPM-IZ-104460
mitogenome_submitted_rooted	YPM-IZ-104461
mitogenome_submitted_rooted	YPM-IZ-104464
mitogenome_submitted_rooted	YPM-IZ-104465
mitogenome_submitted_rooted	YPM-IZ-106919
mitogenome_submitted_rooted	YPM-IZ-106920
mitogenome_submitted_rooted	YPM-IZ-106923
mitogenome_submitted_rooted	YPM-IZ-106935
mitogenome_submitted_rooted	YPM-IZ-106936
mitogenome_submitted_rooted	YPM-IZ-106937
mitogenome_submitted_rooted	YPM-IZ-106941
